id,date,wp1,wp2,wp3,wp4,wp5,wp6,wp7
1,2011010101,0.075,0.286,0.01,0.022,0.162,0.0,0.051
2,2011010102,0.075,0.286,0.01,0.066,0.106,0.0,0.051
3,2011010103,0.015,0.402,0.109,0.165,0.096,0.0,0.051
4,2011010104,0.015,0.402,0.109,0.165,0.126,0.026,0.051
5,2011010105,0.015,0.249,0.257,0.165,0.126,0.026,0.051
6,2011010106,0.346,0.249,0.257,0.22,0.126,0.026,0.202
7,2011010107,0.346,0.09,0.257,0.242,0.47,0.026,0.202
8,2011010108,0.346,0.09,0.257,0.264,0.47,0.474,0.202
9,2011010109,0.346,0.392,0.257,0.264,0.47,0.474,0.202
10,2011010110,0.195,0.392,0.257,0.595,0.47,0.474,0.202
11,2011010111,0.065,0.153,0.257,0.22,0.47,0.474,0.354
12,2011010112,0.065,0.085,0.257,0.116,0.47,0.5,0.505
13,2011010113,0.065,0.037,0.257,0.402,0.47,0.5,0.48
14,2011010114,0.391,0.127,0.168,0.402,0.319,0.5,0.48
15,2011010115,0.426,0.074,0.168,0.738,0.339,0.526,0.48
16,2011010116,0.426,0.058,0.168,0.738,0.43,0.526,0.48
17,2011010117,0.516,0.116,0.148,0.738,0.43,0.526,0.076
18,2011010118,0.622,0.698,0.148,0.749,0.43,0.079,0.682
19,2011010119,0.622,0.079,0.148,0.854,0.046,0.105,0.152
20,2011010120,0.175,0.079,0.148,0.678,0.046,0.105,0.152
21,2011010121,0.175,0.534,0.148,0.678,0.046,0.105,0.152
22,2011010122,0.175,0.418,0.148,0.694,0.046,0.105,0.152
23,2011010123,0.175,0.418,0.573,0.309,0.046,0.75,0.152
24,2011010200,0.266,0.444,0.0,0.204,0.142,0.368,0.833
25,2011010201,0.266,0.444,0.0,0.457,0.157,0.724,0.833
26,2011010202,0.266,0.444,0.0,0.92,0.157,0.724,0.783
27,2011010203,0.266,0.344,0.0,0.573,0.157,0.066,0.884
28,2011010204,0.266,0.344,0.702,0.573,0.157,0.908,0.884
29,2011010205,0.266,0.344,0.702,0.573,0.961,0.908,0.884
30,2011010206,0.266,0.344,0.474,0.573,0.961,0.842,0.884
31,2011010207,0.802,0.503,0.474,0.573,0.961,0.842,0.707
32,2011010208,0.767,0.503,0.721,0.573,0.961,0.842,0.025
33,2011010209,0.005,0.164,0.128,0.766,0.956,0.842,0.859
34,2011010210,0.005,0.164,0.128,0.011,0.956,0.382,0.934
35,2011010211,0.09,0.164,0.494,0.716,0.177,0.382,0.934
